method,split,seed,n,task_success,ci95_task_success,mechanical_violation_rate,ci95_mechanical_violation_rate,damage_unsafe_rate,ci95_damage_unsafe_rate,abstraction_failure_accuracy,ci95_abstraction_failure_accuracy,mechanics_retention_recall,ci95_mechanics_retention_recall,early_warning_recall,ci95_early_warning_recall,false_refinement_alarm_rate,ci95_false_refinement_alarm_rate,planning_cost,ci95_planning_cost,planning_regret_to_oracle,ci95_planning_regret_to_oracle,robust_utility,ci95_robust_utility,intervention_rate,ci95_intervention_rate,deployment_coverage,ci95_deployment_coverage
active_relational_abstraction,language_ambiguity_shift,6,48,0.558015,0.012922,0.192572,0.015863,0.158565,0.013159,0.517361,0.056913,0.774306,0.113215,0.152778,0.044395,0.125000,0.094551,0.287081,0.012846,0.151716,0.027988,0.211582,0.024986,0.899306,0.077041,0.861111,0.078013
active_relational_abstraction,language_ambiguity_shift,7,48,0.550056,0.015781,0.198456,0.019060,0.161668,0.015849,0.486111,0.048469,0.756944,0.120685,0.086806,0.029162,0.125000,0.094551,0.282313,0.014788,0.163821,0.033393,0.199979,0.031003,0.881944,0.089651,0.847222,0.090111
active_relational_abstraction,language_ambiguity_shift,8,48,0.559992,0.012633,0.189906,0.015405,0.156462,0.012915,0.413194,0.060733,0.781250,0.110964,0.152778,0.039906,0.125000,0.094551,0.289334,0.012334,0.149070,0.027124,0.215673,0.024934,0.906250,0.072724,0.875000,0.074392
active_relational_abstraction,language_ambiguity_shift,9,48,0.554917,0.013571,0.194061,0.016888,0.160206,0.013822,0.451389,0.069432,0.767361,0.114565,0.107639,0.031501,0.125000,0.094551,0.285723,0.013490,0.156587,0.029469,0.207010,0.026684,0.892361,0.079904,0.840278,0.080769
active_relational_abstraction,mechanics_ood_shift,0,48,0.511716,0.016561,0.224943,0.017491,0.196629,0.015032,0.409722,0.060709,0.760417,0.108267,0.159722,0.032198,0.121528,0.092139,0.286308,0.012235,0.188193,0.033791,0.119426,0.031515,0.881944,0.071446,0.538194,0.093918
active_relational_abstraction,mechanics_ood_shift,1,48,0.514667,0.015992,0.222675,0.017801,0.193136,0.014529,0.423611,0.068747,0.756944,0.111306,0.125000,0.045099,0.121528,0.092139,0.286752,0.013327,0.184751,0.034239,0.126022,0.030486,0.878472,0.076424,0.531250,0.085158
active_relational_abstraction,mechanics_ood_shift,2,48,0.529424,0.014037,0.211496,0.015115,0.184591,0.011968,0.461806,0.054363,0.781250,0.103464,0.236111,0.069347,0.121528,0.092139,0.296982,0.011339,0.163410,0.028571,0.149118,0.026081,0.902778,0.060611,0.625000,0.080500
active_relational_abstraction,mechanics_ood_shift,3,48,0.516898,0.014118,0.220908,0.016395,0.193319,0.013622,0.406250,0.054072,0.756944,0.106083,0.156250,0.039396,0.125000,0.094551,0.287245,0.011875,0.182712,0.030416,0.128938,0.027753,0.881944,0.068747,0.538194,0.083238
active_relational_abstraction,mechanics_ood_shift,4,48,0.517267,0.015057,0.222466,0.016558,0.194507,0.013787,0.381944,0.059924,0.760417,0.105164,0.229167,0.057233,0.118056,0.089651,0.287918,0.011556,0.183435,0.030569,0.127266,0.029071,0.878472,0.066496,0.607639,0.087261
active_relational_abstraction,mechanics_ood_shift,5,48,0.523519,0.014330,0.215119,0.014890,0.185734,0.012399,0.399306,0.062081,0.781250,0.102546,0.197917,0.049266,0.125000,0.094551,0.294028,0.010887,0.169601,0.028916,0.141530,0.026441,0.906250,0.059088,0.604167,0.077583
active_relational_abstraction,mechanics_ood_shift,6,48,0.522814,0.014745,0.217208,0.015578,0.189107,0.013847,0.458333,0.059562,0.777778,0.104906,0.215278,0.043452,0.125000,0.094551,0.292524,0.011257,0.170508,0.030238,0.137816,0.028246,0.902778,0.063656,0.555556,0.088255
active_relational_abstraction,mechanics_ood_shift,7,48,0.510556,0.016316,0.223547,0.017916,0.197522,0.015442,0.461806,0.057739,0.753472,0.110466,0.142361,0.038893,0.121528,0.092139,0.283891,0.012771,0.191591,0.034471,0.119448,0.031696,0.875000,0.075653,0.527778,0.090373
active_relational_abstraction,mechanics_ood_shift,8,48,0.517339,0.014100,0.219129,0.014577,0.193075,0.012965,0.430556,0.043316,0.770833,0.101837,0.149306,0.029565,0.118056,0.089651,0.288372,0.010591,0.181423,0.028845,0.130114,0.026661,0.888889,0.059429,0.559028,0.093540
active_relational_abstraction,mechanics_ood_shift,9,48,0.523033,0.014644,0.214856,0.016031,0.188774,0.013730,0.350694,0.051687,0.777778,0.108017,0.170139,0.041823,0.121528,0.092139,0.292448,0.012200,0.170925,0.030898,0.139671,0.028020,0.899306,0.068596,0.555556,0.087176
active_relational_abstraction,nominal_abstraction,0,48,0.582206,0.014800,0.177391,0.016865,0.157529,0.016485,0.545139,0.060538,0.750000,0.123796,0.006944,0.009522,0.125000,0.094551,0.278333,0.015455,0.152205,0.031543,0.248998,0.028696,0.875000,0.094551,0.868056,0.094280
active_relational_abstraction,nominal_abstraction,1,48,0.584959,0.013965,0.176649,0.016911,0.155736,0.014400,0.534722,0.043452,0.753472,0.122254,0.034722,0.029111,0.125000,0.094551,0.279878,0.015112,0.147940,0.029876,0.252824,0.026382,0.878472,0.092139,0.854167,0.093102
active_relational_abstraction,nominal_abstraction,2,48,0.587144,0.013950,0.174745,0.015944,0.156917,0.015552,0.548611,0.054985,0.753472,0.120697,0.048611,0.025657,0.125000,0.094551,0.280608,0.014753,0.146669,0.029692,0.254957,0.026988,0.878472,0.090062,0.868056,0.090177
active_relational_abstraction,nominal_abstraction,3,48,0.582581,0.015261,0.177690,0.017611,0.157016,0.015444,0.548611,0.063749,0.750000,0.121871,0.020833,0.015759,0.125000,0.094551,0.278750,0.015082,0.152313,0.031583,0.249394,0.029055,0.875000,0.092016,0.854167,0.093102
active_relational_abstraction,nominal_abstraction,4,48,0.579587,0.015720,0.179032,0.017850,0.159611,0.016282,0.541667,0.046136,0.750000,0.123796,0.006944,0.009522,0.125000,0.094551,0.278229,0.015450,0.154709,0.032688,0.243973,0.030058,0.875000,0.094551,0.854167,0.095608
active_relational_abstraction,nominal_abstraction,5,48,0.581607,0.015023,0.177532,0.017307,0.157491,0.015469,0.552083,0.056844,0.753472,0.122254,0.006944,0.009522,0.125000,0.094551,0.278837,0.015114,0.152092,0.031412,0.248133,0.028636,0.878472,0.092139,0.864583,0.092096
active_relational_abstraction,nominal_abstraction,6,48,0.581416,0.015400,0.177789,0.017638,0.159096,0.016122,0.569444,0.062152,0.750000,0.123796,0.010417,0.011534,0.125000,0.094551,0.278542,0.015451,0.152887,0.032185,0.246761,0.029677,0.875000,0.094551,0.861111,0.093966
active_relational_abstraction,nominal_abstraction,7,48,0.581774,0.015247,0.177629,0.017797,0.158953,0.015165,0.524306,0.059155,0.750000,0.121871,0.020833,0.015759,0.125000,0.094551,0.278646,0.015131,0.152840,0.031686,0.247271,0.028945,0.875000,0.092016,0.868056,0.092251
active_relational_abstraction,nominal_abstraction,8,48,0.582017,0.015023,0.177369,0.017678,0.157648,0.015258,0.527778,0.056991,0.750000,0.123796,0.000000,0.000000,0.125000,0.094551,0.278229,0.015450,0.152293,0.031472,0.248780,0.028534,0.875000,0.094551,0.864583,0.095624
active_relational_abstraction,nominal_abstraction,9,48,0.579758,0.015656,0.179664,0.018415,0.159317,0.015333,0.520833,0.053826,0.746528,0.123410,0.017361,0.014556,0.125000,0.094551,0.277934,0.015474,0.155173,0.032443,0.244112,0.029593,0.871528,0.094421,0.857639,0.094796
active_relational_abstraction,object_affordance_transfer,0,48,0.531387,0.013501,0.207047,0.016104,0.172556,0.012264,0.413194,0.065960,0.781250,0.108376,0.090278,0.029111,0.125000,0.094551,0.294315,0.012099,0.162956,0.028655,0.163446,0.025483,0.906250,0.068711,0.760417,0.074650
active_relational_abstraction,object_affordance_transfer,1,48,0.537196,0.012639,0.205105,0.015088,0.169740,0.012657,0.430556,0.055732,0.788194,0.108194,0.222222,0.056991,0.125000,0.094551,0.296209,0.011672,0.155222,0.027602,0.171614,0.024677,0.913194,0.067379,0.767361,0.082382
active_relational_abstraction,object_affordance_transfer,2,48,0.533617,0.015613,0.209825,0.017855,0.173138,0.013942,0.430556,0.054008,0.774306,0.111954,0.204861,0.041539,0.125000,0.094551,0.291398,0.012929,0.163232,0.032269,0.164871,0.029657,0.899306,0.075176,0.774306,0.087261
active_relational_abstraction,object_affordance_transfer,3,48,0.528384,0.015325,0.214065,0.018352,0.176494,0.014700,0.430556,0.055732,0.760417,0.113805,0.197917,0.052967,0.125000,0.094551,0.288411,0.013495,0.171573,0.032854,0.156018,0.030118,0.885417,0.079706,0.743056,0.084209
active_relational_abstraction,object_affordance_transfer,4,48,0.524441,0.016484,0.216606,0.019492,0.177881,0.015180,0.454861,0.052142,0.750000,0.114672,0.131944,0.045577,0.125000,0.094551,0.285619,0.014002,0.178942,0.034458,0.150776,0.031823,0.875000,0.082244,0.725694,0.097985
active_relational_abstraction,object_affordance_transfer,5,48,0.528287,0.015882,0.212404,0.017900,0.175779,0.015362,0.468750,0.064997,0.767361,0.113736,0.163194,0.049106,0.125000,0.094551,0.289039,0.013528,0.170155,0.033197,0.157135,0.030703,0.892361,0.078711,0.736111,0.089585
active_relational_abstraction,object_affordance_transfer,6,48,0.534514,0.014064,0.207121,0.017064,0.173410,0.013489,0.434028,0.053042,0.781250,0.113909,0.197917,0.050217,0.125000,0.094551,0.291685,0.013159,0.160223,0.030617,0.167020,0.027282,0.906250,0.077143,0.739583,0.084740
active_relational_abstraction,object_affordance_transfer,7,48,0.524102,0.016230,0.212600,0.019333,0.176382,0.015181,0.399306,0.056496,0.763889,0.113775,0.076389,0.030693,0.125000,0.094551,0.287862,0.013363,0.176310,0.033817,0.152897,0.031995,0.888889,0.079217,0.729167,0.085694
active_relational_abstraction,object_affordance_transfer,8,48,0.533564,0.013590,0.208179,0.016228,0.173297,0.014111,0.451389,0.050501,0.774306,0.111106,0.197917,0.046296,0.125000,0.094551,0.290594,0.012633,0.163284,0.029472,0.165997,0.026910,0.899306,0.073907,0.763889,0.078917
active_relational_abstraction,object_affordance_transfer,9,48,0.534483,0.013398,0.207989,0.015523,0.172908,0.013211,0.413194,0.064510,0.781250,0.108812,0.201389,0.055838,0.125000,0.094551,0.293158,0.011957,0.160397,0.028708,0.166229,0.025882,0.906250,0.069396,0.739583,0.084180
active_relational_abstraction,predicate_noise_shift,0,48,0.547285,0.013855,0.199476,0.017006,0.163005,0.014194,0.437500,0.064974,0.774306,0.113632,0.170139,0.037024,0.125000,0.094551,0.287169,0.012904,0.159899,0.029942,0.193614,0.027674,0.899306,0.077652,0.847222,0.077709
active_relational_abstraction,predicate_noise_shift,1,48,0.542400,0.017126,0.205143,0.020601,0.165116,0.015433,0.364583,0.066436,0.756944,0.120685,0.104167,0.037196,0.125000,0.094551,0.282629,0.014827,0.168690,0.035365,0.185830,0.033217,0.881944,0.089651,0.840278,0.089121
active_relational_abstraction,predicate_noise_shift,2,48,0.555877,0.013366,0.194950,0.015455,0.159543,0.013032,0.402778,0.054008,0.781250,0.110108,0.208333,0.047150,0.125000,0.094551,0.289158,0.012011,0.150201,0.027789,0.206489,0.025457,0.906250,0.071412,0.850694,0.075490
active_relational_abstraction,predicate_noise_shift,3,48,0.550550,0.013999,0.199107,0.016669,0.160712,0.013539,0.427083,0.062208,0.774306,0.113215,0.152778,0.053125,0.125000,0.094551,0.286765,0.012925,0.156691,0.029689,0.198914,0.027058,0.899306,0.077041,0.847222,0.080107
active_relational_abstraction,predicate_noise_shift,4,48,0.546971,0.012367,0.199769,0.015211,0.163594,0.012601,0.423611,0.053236,0.777778,0.108017,0.145833,0.030175,0.125000,0.094551,0.286754,0.011379,0.159905,0.026837,0.192880,0.024575,0.902778,0.068661,0.864583,0.068539
active_relational_abstraction,predicate_noise_shift,5,48,0.546667,0.015264,0.200714,0.018900,0.164017,0.014676,0.434028,0.056496,0.760417,0.119086,0.093750,0.036271,0.125000,0.094551,0.283351,0.014346,0.163814,0.032597,0.193153,0.029824,0.885417,0.087080,0.843750,0.087216
active_relational_abstraction,predicate_noise_shift,6,48,0.551729,0.013641,0.195821,0.015967,0.160330,0.013078,0.434028,0.046381,0.784722,0.111306,0.166667,0.059163,0.125000,0.094551,0.289932,0.012491,0.152719,0.028361,0.200943,0.025961,0.909722,0.072758,0.854167,0.074472
active_relational_abstraction,predicate_noise_shift,7,48,0.548594,0.015444,0.199205,0.017437,0.163011,0.014093,0.472222,0.058628,0.774306,0.113215,0.131944,0.046604,0.125000,0.094551,0.287028,0.012972,0.158938,0.031420,0.195136,0.029265,0.899306,0.077041,0.847222,0.079515
active_relational_abstraction,predicate_noise_shift,8,48,0.551369,0.014505,0.198226,0.017673,0.161539,0.014225,0.447917,0.063151,0.767361,0.115797,0.138889,0.039309,0.125000,0.094551,0.287195,0.013850,0.156998,0.030961,0.199468,0.028371,0.892361,0.081661,0.850694,0.082668
active_relational_abstraction,predicate_noise_shift,9,48,0.545322,0.016247,0.201581,0.019368,0.165924,0.016167,0.409722,0.055838,0.756944,0.120685,0.086806,0.042385,0.125000,0.094551,0.283488,0.015045,0.165842,0.034431,0.189875,0.031979,0.881944,0.089651,0.829861,0.091495
active_relational_abstraction,recovery_cost_pressure,0,48,0.529336,0.015071,0.209467,0.016790,0.180656,0.014633,0.427083,0.048541,0.774306,0.107646,0.211806,0.038588,0.125000,0.094551,0.307138,0.012883,0.164297,0.030711,0.148775,0.029289,0.899306,0.068596,0.725694,0.081661
active_relational_abstraction,recovery_cost_pressure,1,48,0.525161,0.014674,0.213248,0.016897,0.181664,0.013833,0.364583,0.045263,0.777778,0.111040,0.190972,0.061507,0.121528,0.092139,0.305834,0.013739,0.165938,0.030997,0.142229,0.028018,0.899306,0.073264,0.666667,0.081956
active_relational_abstraction,recovery_cost_pressure,2,48,0.522289,0.014457,0.215724,0.016995,0.183156,0.014255,0.375000,0.054589,0.767361,0.109498,0.180556,0.037460,0.125000,0.094551,0.302904,0.013353,0.172150,0.030511,0.138076,0.028384,0.892361,0.072453,0.694444,0.083858
active_relational_abstraction,recovery_cost_pressure,3,48,0.522329,0.015364,0.214989,0.017583,0.180805,0.013683,0.447917,0.059288,0.774306,0.109390,0.170139,0.045088,0.125000,0.094551,0.305594,0.013351,0.169996,0.031584,0.139106,0.029111,0.899306,0.071301,0.673611,0.076560
active_relational_abstraction,recovery_cost_pressure,4,48,0.518363,0.016403,0.216839,0.017824,0.186073,0.016228,0.395833,0.052939,0.760417,0.110430,0.121528,0.038588,0.121528,0.092139,0.301887,0.013842,0.178894,0.032866,0.131832,0.031948,0.881944,0.074683,0.649306,0.087667
active_relational_abstraction,recovery_cost_pressure,5,48,0.528825,0.012305,0.211736,0.014204,0.179975,0.011945,0.444444,0.055306,0.781250,0.101152,0.243056,0.047608,0.125000,0.094551,0.306760,0.010523,0.162997,0.025324,0.147597,0.024028,0.906250,0.056636,0.684028,0.080933
active_relational_abstraction,recovery_cost_pressure,6,48,0.530159,0.015676,0.208464,0.016565,0.177952,0.014096,0.343750,0.049981,0.788194,0.107756,0.218750,0.045782,0.121528,0.092139,0.309309,0.013122,0.159798,0.030608,0.151214,0.029311,0.909722,0.066651,0.715278,0.081932
active_relational_abstraction,recovery_cost_pressure,7,48,0.531998,0.014170,0.208838,0.015989,0.174864,0.012229,0.361111,0.051772,0.791667,0.103621,0.253472,0.047639,0.125000,0.094551,0.310215,0.011264,0.157241,0.027956,0.154680,0.026744,0.916667,0.059163,0.715278,0.070110
active_relational_abstraction,recovery_cost_pressure,8,48,0.527156,0.015482,0.211695,0.017612,0.180864,0.014004,0.378472,0.059752,0.777778,0.110613,0.204861,0.048864,0.125000,0.094551,0.305337,0.013501,0.164780,0.031678,0.145909,0.029406,0.902778,0.072677,0.670139,0.086170
active_relational_abstraction,recovery_cost_pressure,9,48,0.528838,0.014848,0.212073,0.016806,0.179197,0.013853,0.420139,0.053264,0.781250,0.108812,0.194444,0.065488,0.121528,0.092139,0.307446,0.013134,0.162309,0.030352,0.147687,0.028482,0.902778,0.069347,0.659722,0.084209
affordance_graph_planner,combined_adversarial_abstraction,0,48,0.488854,0.021625,0.241758,0.021176,0.198514,0.016357,0.305556,0.044924,0.697917,0.095624,0.402778,0.066562,0.052083,0.042570,0.340619,0.019042,0.204121,0.039479,0.062644,0.037899,0.750000,0.070809,0.711806,0.071301
affordance_graph_planner,combined_adversarial_abstraction,1,48,0.467560,0.028205,0.273319,0.025817,0.223512,0.020926,0.263889,0.045448,0.628472,0.099779,0.357639,0.069453,0.048611,0.040054,0.317550,0.021138,0.252029,0.049144,0.014735,0.049887,0.677083,0.081031,0.631944,0.082507
affordance_graph_planner,combined_adversarial_abstraction,2,48,0.453439,0.027140,0.292158,0.025556,0.232249,0.020244,0.354167,0.049236,0.597222,0.098151,0.253472,0.056705,0.031250,0.028616,0.303396,0.021439,0.280819,0.048111,-0.010658,0.047984,0.628472,0.086033,0.572917,0.077143
affordance_graph_planner,combined_adversarial_abstraction,3,48,0.499269,0.019758,0.229366,0.019196,0.189360,0.014918,0.315972,0.045868,0.732639,0.094671,0.427083,0.050452,0.041667,0.032984,0.350301,0.018347,0.185123,0.036428,0.082771,0.033912,0.774306,0.071135,0.736111,0.067269
affordance_graph_planner,combined_adversarial_abstraction,4,48,0.488040,0.024158,0.253630,0.021522,0.207962,0.018256,0.329861,0.060342,0.666667,0.095794,0.399306,0.048378,0.059028,0.050060,0.331728,0.018408,0.216249,0.041953,0.051877,0.042365,0.725694,0.072453,0.677083,0.068366
affordance_graph_planner,combined_adversarial_abstraction,5,48,0.446636,0.029593,0.300796,0.026566,0.241971,0.022419,0.322917,0.054508,0.569444,0.102397,0.239583,0.054072,0.041667,0.031517,0.296590,0.021126,0.295308,0.052207,-0.026612,0.052867,0.611111,0.087176,0.559028,0.082238
affordance_graph_planner,combined_adversarial_abstraction,6,48,0.491661,0.024254,0.235659,0.024035,0.195375,0.019465,0.336806,0.056287,0.708333,0.099903,0.500000,0.076585,0.048611,0.040054,0.345838,0.020724,0.198086,0.043332,0.069057,0.043679,0.756944,0.077175,0.722222,0.076173
affordance_graph_planner,combined_adversarial_abstraction,7,48,0.431824,0.030883,0.307900,0.029360,0.245724,0.023832,0.354167,0.061226,0.552083,0.101619,0.222222,0.047979,0.024306,0.021726,0.293316,0.024460,0.315223,0.055461,-0.046872,0.055170,0.576389,0.092762,0.506944,0.091220
affordance_graph_planner,combined_adversarial_abstraction,8,48,0.483321,0.021292,0.254950,0.021135,0.206746,0.016548,0.309028,0.052369,0.677083,0.095003,0.381944,0.065937,0.048611,0.037618,0.331696,0.018191,0.218968,0.038791,0.047281,0.038161,0.725694,0.071135,0.673611,0.063749
affordance_graph_planner,combined_adversarial_abstraction,9,48,0.480564,0.021596,0.243439,0.020985,0.200137,0.016971,0.340278,0.047608,0.694444,0.095958,0.465278,0.058324,0.048611,0.043452,0.339656,0.019003,0.213620,0.038376,0.052616,0.037849,0.743056,0.074683,0.704861,0.070299
affordance_graph_planner,geometry_tolerance_shift,0,48,0.505390,0.034894,0.269260,0.031767,0.216765,0.026831,0.413194,0.058350,0.569444,0.127869,0.059028,0.024778,0.010417,0.011534,0.271878,0.026799,0.261789,0.060855,0.078960,0.062273,0.579861,0.124554,0.569444,0.122580
affordance_graph_planner,geometry_tolerance_shift,1,48,0.513661,0.031343,0.260436,0.027837,0.212170,0.024425,0.395833,0.052038,0.583333,0.117524,0.069444,0.023491,0.013889,0.013170,0.279628,0.024307,0.250117,0.054058,0.092402,0.055792,0.597222,0.112521,0.590278,0.111306
